country;year;life_ladder;log_gdp_per_capita;social_support;life_expec;freedom_to_make_life_choices;generosity;perceptions_of_corruption;positive_affect;negative_affect;confidence_in_national_government;democratic_quality;delivery_quality;standard_deviation_of_ladder_by_country_year;standard_deviation_mean_of_ladder_by_country_year;gini_index_world_bank_estimate;gini_index_world_bank_estimate_average_2000_15;gini_of_household_income_reported_in_gallup_by_wp5_year;continent;country_code;populacao_2020
Mexico;2017;6,41029930114746;9,74196910858154;0,799839377403259;68,0982284545898;0,861405134201050;-0,20663921535015106;0,800893068313599;0,842642307281494;0,230990886688232;0,256953150033951;NA;NA;2,23620724678040;0,348845988512039;NA;0,484750000000000;0,438771128654480;Americas;484;128932,753
Moldova;2017;5,32553052902222;8,54578876495361;0,830767929553986;63,7012443542480;0,552825212478638;-0,00317887216806412;0,926333785057068;0,581488788127899;0,259477794170380;0,132729634642601;NA;NA;1,88516926765442;0,353987127542496;NA;0,329937500000000;0,433169960975647;Europe;498;4033,963
Mongolia;2017;5,33385038375854;9,31854820251465;0,924250781536102;62,3126106262207;0,674627423286438;0,10645134747028351;0,864952206611633;0,675165295600891;0,213599517941475;0,275058358907700;NA;NA;2,09516167640686;0,392804741859436;NA;0,335833333333333;0,389351516962051;Asia;496;3278,292
Montenegro;2017;5,61479854583740;9,69449710845947;0,881199836730957;67,1421890258789;0,625906288623810;-0,08489078283309937;0,755680024623871;0,519128143787384;0,349785089492798;0,351549893617630;NA;NA;2,20751190185547;0,393159598112106;NA;0,309300000000000;0,352438509464264;Europe;499;628,062
Morocco;2017;5,31248283386230;8,91504383087158;0,641193091869354;65,3388595581055;0,814258038997650;-0,22791938483715057;0,840502440929413;0,559288203716278;0,322715908288956;NA;NA;NA;2,28716826438904;0,430527180433273;NA;0,406500000000000;0,527966916561127;Africa;504;36910,558
Mozambique;2017;4,27986335754395;7,04657745361328;0,678463697433472;49,9577445983887;0,822670519351959;-0,02150259725749493;0,682108938694000;0,648381412029266;0,353176504373550;0,759234368801117;NA;NA;2,98501992225647;0,697456836700439;NA;0,463000000000000;0,608845353126526;Africa;508;31255,435
Namibia;2017;4,44130611419678;9,20336246490479;0,828339040279388;55,4954261779785;0,810401856899261;-0,20176585018634796;0,831302881240845;0,720678210258484;0,277252167463303;0,745853602886200;NA;NA;2,73977327346802;0,616884589195251;NA;0,621500000000000;0,602735936641693;Africa;516;2540,916
Nepal;2017;4,73669242858887;7,80130910873413;0,816383302211761;61,2659568786621;0,845147609710693;0,14651113748550415;0,770177125930786;0,570577025413513;0,375977933406830;0,559578537940979;NA;NA;2,46845364570618;0,521134436130524;NA;0,383000000000000;0,463746637105942;Asia;524;29136,808
Netherlands;2017;7,45896530151367;10,79181385040283;0,936501324176788;71,6199951171875;0,920319736003876;0,23744046688079834;0,363133639097214;0,852184891700745;0,184519842267036;0,669553637504578;NA;NA;1,31847989559174;0,176764443516731;NA;0,286909090909091;0,441935479640961;Europe;528;17134,873
New Zealand;2017;7,32718276977539;10,47576236724854;0,954920649528503;71,6143035888672;0,942279458045959;0,28505671024322510;0,221887484192848;0,817431271076202;0,171716570854187;0,609015464782715;NA;NA;1,65033578872681;0,225234702229500;NA;NA;0,446442186832428;Oceania;554;4822,233
